A Clockwork Orange,Fantasy,1971,137,Stanley Kubrick,Malcolm McDowell
A New Leaf,Comedy,1971,102,Elaine May,Walter Matthau
Basic Instinct,Thriller,1992,128,Paul Verhoeven,Michael Douglas
Being John Malkovich ,Comedy,1999,112,Spike Jonze,John Cusack
Blood Simple,Thriller,1984,96,Joel & Ethan Coen,Frances McDormand
Casablanca,Drama,1942,102,Michael Curtiz,Humphrey Bogart
Conan the Barbarian,Fantasy,1982,129,John Milius,Arnold Schwarzenegger
Die Hard,Action,1988,132,John McTiernan,Bruce Willis
Eternal Sunshine of the Spotless Mind,Fantasy,2004,107,Michel Gondry,Jim Carrey
Fargo,Thriller,1996,98,Joel & Ethan Coen,Frances McDormand
Gravity,Drama,2013,91,Alfonso Cuarón,Sandra Bullock
Fight Club,Thriller,1999,139,David Fincher,Edward Norton
Forest Gump,Comedy,1994,142,Robert Zemeckis,Tom Hanks
Good Will Hunting,Drama,1997,126,Gus Van Sant,Matt Damon
Liar Liar,Comedy,1997,106,Tom Shadyac,Jim Carrey
Lord of the Rings: Fellowship of the Ring,Fantasy,2001,178,Peter Jackson,Elijah Wood
Lord of the Rings: The Return of the King,Fantasy,2003,200,Peter Jackson,Elijah Wood
Lord of the Rings: The Two Towers,Fantasy,2002,175,Peter Jackson,Elijah Wood
O Brother Where Art Thou?,Comedy,2000,106,Joel & Ethan Coen,George Clooney
Platoon,Drama,1986,119,Oliver Stone,Tom Berenger
Rashoman,Drama,1950,88,Akira Kurosawa,Toshiro Mifune
The Producers,Comedy,1968,88,Mel Brooks,Zero Mostel
Romancing the Stone,Comedy,1984,106,Robert Zemeckis,Michael Douglas
Serenity,Science_Fiction,2005,118,Joss Whedon,Nathan Fillion
Terminator 2: Judgment Day,Science_Fiction,1991,137,James Cameron,Arnold Schwarzenegger
The 39 Steps,Thriller,1935,86,Alfred Hitchcock,Robert Donat
The Big Chill,Drama,1983,106,Lawrence Kasdan,Tom Berenger
The Big Lebowski,Comedy,1998,118,Joel & Ethan Coen,Jeff Bridges
The Bourne Identity,Thriller,2002,119,Doug Liman,Matt Damon
The Bourne Supremacy,Thriller,2004,108,Paul Greengrass,Matt Damon
The Bourne Ultimatum,Thriller,2007,116,Paul Greengrass,Matt Damon
The Fighter,Drama,2010,115,David O. Russell,Mark Wahlberg
The Hunger Games,Science_Fiction,2012,142,Gary Ross,Jennifer Lawrence
The Girl with the Dragon Tattoo,Thriller,2011,160,David Fincher,Daniel Craig
The Maltese Falcon,Thriller,1941,100,John Huston,Humphrey Bogart
The Princess Bride,Comedy,1987,98,Rob Reiner,Cary Elwes
The Shining,Thriller,1980,143,Stanley Kubrick,Jack Nicholson
True Grit,Drama,1969,128,Henry Hathaway,John Wayne
Wall Street,Drama,1987,125,Oliver Stone,Michael Douglas
Django Unchained,Drama,2012,165,Quentin Tarantino,Jamie Foxx
The Producers,Comedy,2005,134,Susan Stroman,Nathan Lane
Captain Phillips,Drama,2013,134,Paul Greengrass,Tom Hanks
